Пользователь;мс между'Э' и 'т';мс между'т' и 'о';мс между'о' и 'т';мс между'т' и ' ';мс между' ' и 'т';мс между'т' и 'е';мс между'е' и 'к';мс между'к' и 'с';мс между'с' и 'т';мс между'т' и ' ';мс между' ' и 'н';мс между'н' и 'а';мс между'а' и 'д';мс между'д' и 'о';мс между'о' и ' ';мс между' ' и 'в';мс между'в' и 'в';мс между'в' и 'е';мс между'е' и 'с';мс между'с' и 'т';мс между'т' и 'и';мс между'и' и '!';Скорость ввода (кл/мс);Кол-во ошибок;Shift;Caps;Степан;Рафаэль;Илья;Елена;Евгений;Алина;Чингиз
Илья;3;0;1;6;1;1;0;1;0;0;1;0;1;0;0;1;1;1;1;0;1;1;1,095;1;2;0;0;0;1;0;0;0;0
Илья;2;0;1;1;1;1;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1;1;1,643;1;2;0;0;0;1;0;0;0;0
Илья;2;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1;1;2,091;1;2;0;0;0;1;0;0;0;0
Илья;2;0;0;0;1;0;0;1;6;1;1;1;1;0;1;2;1;0;1;0;1;1;1,095;1;2;0;0;0;1;0;0;0;0
Илья;2;0;0;1;1;1;6;2;1;6;1;0;1;0;1;1;1;1;2;0;1;1;0,767;2;2;0;0;0;1;0;0;0;0
Илья;3;1;0;1;1;3;0;2;1;1;5;1;1;0;1;2;1;0;1;0;1;1;0,852;1;2;0;0;0;1;0;0;0;0
Илья;2;0;0;0;0;1;0;1;1;1;1;0;1;0;0;4;1;0;1;0;1;0;1,533;2;2;0;0;0;1;0;0;0;0
Илья;2;0;0;0;1;1;6;1;1;2;1;0;1;0;0;1;1;0;1;0;1;7;0,852;2;2;0;0;0;1;0;0;0;0
Илья;4;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;1;1,643;1;2;0;0;0;1;0;0;0;0
Илья;5;0;0;1;1;6;13;2;2;3;2;2;1;2;2;4;2;2;2;2;2;4;0,383;4;2;0;0;0;1;0;0;0;0
Елена;10;2;2;2;6;6;6;4;4;3;18;4;5;3;4;4;1;4;7;3;2;30;0,177;0;1;1;0;0;0;1;0;0;0
Елена;12;1;2;2;2;3;9;7;2;2;10;6;5;5;4;16;2;15;5;2;2;12;0,183;1;1;1;0;0;0;1;0;0;0
Елена;10;1;2;2;3;11;10;8;2;2;10;18;4;2;3;6;2;3;9;3;3;16;0,177;1;1;1;0;0;0;1;0;0;0
Елена;55;1;2;13;7;5;6;21;2;2;6;2;7;2;3;4;1;4;6;2;2;12;0,139;9;1;1;0;0;0;1;0;0;0
Елена;11;1;2;3;7;3;8;3;3;2;5;3;6;2;3;5;2;3;5;2;2;13;0,245;2;1;1;0;0;0;1;0;0;0
Елена;13;2;3;3;23;2;8;4;3;2;7;3;5;3;3;5;2;3;4;3;3;11;0,2;0;1;1;0;0;0;1;0;0;0
Елена;14;2;12;3;3;4;4;4;2;2;3;2;7;3;3;6;1;3;4;3;2;8;0,242;1;1;1;0;0;0;1;0;0;0
Елена;17;1;1;7;4;3;9;3;3;2;14;5;5;2;3;3;1;2;4;3;2;15;0,211;1;1;1;0;0;0;1;0;0;0
Елена;9;1;2;3;2;4;6;4;2;2;3;2;4;2;2;4;1;3;4;4;1;9;0,311;1;1;1;0;0;0;1;0;0;0
Елена;37;1;4;5;6;14;4;5;7;12;14;10;5;2;3;3;1;2;5;3;2;8;0,15;7;1;1;0;0;0;1;0;0;0
Евгений;8;1;1;1;2;1;1;1;1;9;11;13;6;23;7;2;2;8;2;14;4;9;0,181;1;2;0;0;0;0;0;1;0;0
Евгений;2;1;1;1;2;1;1;2;1;2;12;4;5;2;8;10;9;2;2;1;1;5;0,307;1;2;0;0;0;0;0;1;0;0
Евгений;3;1;1;1;1;1;1;2;1;2;14;4;2;2;1;10;2;2;2;1;1;5;0,383;2;2;0;0;0;0;0;1;0;0
Евгений;3;1;1;4;7;2;1;2;5;4;6;1;2;2;5;6;1;2;2;1;1;8;0,343;1;2;0;0;0;0;0;1;0;0
Евгений;3;2;1;1;1;1;1;2;1;1;4;2;2;18;2;3;1;2;2;1;1;4;0,411;1;2;0;0;0;0;0;1;0;0
Евгений;3;1;1;1;1;1;1;2;1;1;1;1;2;2;4;2;1;2;2;1;1;7;0,59;1;2;0;0;0;0;0;1;0;0
Евгений;3;1;2;3;1;1;1;2;1;1;1;1;2;2;1;16;5;6;2;1;1;4;0,397;1;2;0;0;0;0;0;1;0;0
Евгений;3;1;1;2;2;1;1;1;1;2;1;1;2;2;4;1;2;2;2;1;1;9;0,535;2;2;0;0;0;0;0;1;0;0
Евгений;2;1;1;1;5;1;1;2;1;2;7;2;2;2;6;4;1;2;2;1;1;11;0,397;1;2;0;0;0;0;0;1;0;0
Евгений;2;1;1;1;1;1;1;1;2;1;5;4;1;4;2;2;2;2;2;1;2;4;0,535;1;2;0;0;0;0;0;1;0;0
Алина;8;3;2;5;9;7;0;5;5;8;4;3;2;2;8;3;3;6;3;5;2;9;0,225;0;1;1;0;0;0;0;0;1;0
Алина;7;5;4;4;7;2;1;4;3;4;8;3;2;2;5;5;4;2;2;1;3;5;0,277;1;1;1;0;0;0;0;0;1;0
Алина;9;6;3;3;2;2;1;3;1;2;7;5;2;4;3;2;5;2;5;4;4;5;0,288;1;1;1;0;0;0;0;0;1;0
Алина;5;2;2;4;5;3;2;2;4;4;7;5;4;3;4;2;1;9;5;4;3;5;0,271;1;1;1;0;0;0;0;0;1;0
Алина;8;5;4;7;4;4;2;7;5;4;4;2;2;3;6;2;2;2;2;1;4;6;0,267;1;1;1;0;0;0;0;0;1;0
Алина;5;4;5;4;4;1;0;4;2;4;2;2;11;3;5;2;7;4;5;5;3;6;0,261;2;1;1;0;0;0;0;0;1;0
Алина;11;2;6;4;2;3;2;4;2;2;5;4;2;3;4;2;2;7;4;1;2;4;0,295;1;1;1;0;0;0;0;0;1;0
Алина;8;5;2;5;2;6;3;7;2;2;2;7;2;3;6;4;2;3;2;1;2;4;0,288;1;1;1;0;0;0;0;0;1;0
Алина;5;2;3;3;8;4;1;2;1;4;3;1;4;2;2;2;1;2;2;4;4;5;0,354;1;1;1;0;0;0;0;0;1;0
Алина;8;3;2;3;2;7;2;7;2;2;4;7;1;2;3;2;1;2;8;1;1;5;0,307;1;1;1;0;0;0;0;0;1;0
Чингиз;2;0;2;5;1;1;8;2;7;1;1;8;6;1;1;1;2;2;2;1;2;3;0,39;0;1;1;0;0;0;0;0;0;1
Чингиз;3;0;2;2;3;1;1;2;1;1;1;1;2;15;1;1;2;2;1;1;1;1;0,511;3;1;1;0;0;0;0;0;0;1
Чингиз;3;0;2;2;1;0;1;1;1;1;1;1;2;2;0;1;2;2;1;1;1;1;0,852;1;1;1;0;0;0;0;0;0;1
Чингиз;4;1;1;2;1;1;2;2;1;1;1;1;2;1;1;1;2;2;1;1;1;1;0,742;1;1;1;0;0;0;0;0;0;1
Чингиз;3;0;2;2;8;9;2;2;3;1;2;1;2;1;0;1;1;2;2;1;1;1;0,489;4;1;1;0;0;0;0;0;0;1
Чингиз;2;1;2;3;1;1;2;2;1;1;1;1;2;1;0;1;2;2;2;0;1;1;0,767;1;1;1;0;0;0;0;0;0;1
Чингиз;3;0;1;3;1;1;2;2;1;1;1;1;2;1;1;1;2;2;2;1;1;1;0,742;1;1;1;0;0;0;0;0;0;1
Чингиз;3;0;1;1;2;1;3;2;1;1;1;1;2;1;0;1;2;2;1;1;1;1;0,793;1;1;1;0;0;0;0;0;0;1
Чингиз;2;0;2;6;1;0;2;1;1;3;1;1;2;1;1;1;1;2;9;1;1;1;0,575;3;1;1;0;0;0;0;0;0;1
Чингиз;3;1;2;4;2;1;1;2;1;1;1;1;2;1;2;1;2;2;1;1;1;1;0,676;1;1;1;0;0;0;0;0;0;1
Степан2;4;2;1;2;1;1;0;2;1;2;3;1;5;2;2;1;2;2;2;1;10;9;0,411;2;1;1;0;0;0;0;0;0;0;1
Степан2;6;2;2;2;1;1;0;5;1;5;3;1;17;2;3;1;1;2;2;1;1;4;0,365;5;1;1;0;0;0;0;0;0;0;1
